frame,system,rom_label,pc,ram_0000_t49,ram_0002_t17,ram_0003_t18,ram_0004_t18,game_mode,screen_ready,ram_script,ram_subscript,ppu_load_index,ram_frm_cnt,rendering_flag,ram_next_script,ram_005C,se_ptr_lo,se_ptr_hi,ram_006C_se,ram_00F6,btn_press,btn_hold,scroll_y,scroll_x,ram_for_2001,ram_for_2000,ram_0415,ram_041A,ram_042D,ram_042E,ram_0528,ram_05F1,ram_05F4,ram_05F5,ram_music,ram_music_busy,ram_060A,ram_060B,ram_060C,ram_060D,ram_0611,ram_0612,ram_0613,ram_0616,ram_0617,ram_0619,ram_061B,ppu_buf_status,ppu_buf_index,ppu_buf_0,ppu_buf_1,ppu_buf_2,ppu_buf_3,ppu_buf_4,ppu_buf_5,ppu_buf_6,ppu_buf_7
0,nes,current_nes,0000,00,00,00,FF,00,00,00,00,FF,FF,FF,00,FF,FF,FF,FF,FF,00,00,FF,FF,FF,FF,FF,00,FF,FF,00,00,FF,FF,00,00,00,00,FF,FF,00,00,00,FF,FF,00,00,00,00,00,00,FF,FF,FF,FF,00,00
1,nes,current_nes,FF5C,00,00,00,FF,00,00,00,00,FF,FF,FF,00,FF,FF,FF,FF,FF,00,00,FF,FF,FF,FF,FF,00,FF,FF,00,00,FF,FF,00,00,00,00,FF,FF,00,00,00,FF,FF,00,00,00,00,00,00,FF,FF,FF,FF,00,00
2,nes,current_nes,FF64,00,00,00,FF,00,00,00,00,FF,FF,FF,00,FF,FF,FF,FF,FF,00,00,FF,FF,FF,FF,FF,00,FF,FF,00,00,FF,FF,00,00,00,00,FF,FF,00,00,00,FF,FF,00,00,00,00,00,00,FF,FF,FF,FF,00,00
3,nes,current_nes,E5BF,20,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,30,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,FF,00,00,00,00,00,00,00
4,nes,current_nes,E45D,28,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,B0,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,FF,00,00,00,00,00,00,00
5,nes,current_nes,8D28,03,92,6E,02,00,00,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,1E,30,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,3F,00,FF,00,00,00,00,00,00,00
6,nes,current_nes,8D1D,40,CF,70,02,00,00,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,1E,30,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,3F,00,FF,00,00,00,00,00,00,00
7,nes,current_nes,8D14,7C,0C,73,02,00,00,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,1E,30,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,3F,00,FF,00,00,00,00,00,00,00
8,nes,current_nes,8D2C,B9,49,75,02,00,00,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,1E,30,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,3F,00,FF,00,00,00,00,00,00,00
9,nes,current_nes,8D21,F6,85,77,02,00,00,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,1E,30,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,3F,00,FF,00,00,00,00,00,00,00
